title,author,tag,rating,rating_count,publisher,publish_date,price,summary,detail_url,cover_url,isbn,pages
灵魂的肉身,[俄]柳德米拉·乌利茨卡娅 / 赵振宇,小说,8.5,27,译林出版社,2026-5,58.00元,"🦋灵魂并非寄居在躯壳中，灵魂会长出自己的血肉
🦋俄罗斯文学的领军人物，女性文学的世界级作家
.
【编辑推荐】
·诺贝尔文学奖热门作家乌 利茨卡娅最新短篇小说...",https://book.douban.com/subject/38383105/,https://img9.doubanio.com/view/subject/s/public/s35475714.jpg,,
影·豹,[日] 内田百间 / 黄子超,小说,8.4,62,广西师范大学出版社,2026-5,46,"超冷门文豪，无意义大师，
一本超短篇合集，读懂内田百间与他的离奇梦境。
书写日常里的裂痕，现实中的迷宫，
越读越清醒，越想越悚然。
“你没有在做梦，请立刻醒...",https://book.douban.com/subject/37808516/,https://img1.doubanio.com/view/subject/s/public/s35477050.jpg,,
翠鸟谋杀案,[英] 安东尼·霍洛维茨 / 王雨佳,小说,8.3,183,新星出版社,2026-5,98.00元,"◎安东尼·霍洛维茨，蜚声世界的英国著名侦探小说大师，“黄金时代”的继承者与开拓者。
◎全球畅销书《喜鹊谋杀案》三部曲震撼完结篇 直击灵魂的最终章
◎同名大爆...",https://book.douban.com/subject/38229491/,https://img3.doubanio.com/view/subject/s/public/s35474402.jpg,,
永结无情游,周嘉宁,小说,8.8,173,人民文学出版社,2026-4,59,"·周嘉宁全新长篇小说
·友谊并不长存，我们在断裂与激流中，承接彼此的灰心。
·“我回述的明明是愤怒和不甘，但其中又有令人相当想念的部分，以至于心情矛盾，最终...",https://book.douban.com/subject/38367806/,https://img2.doubanio.com/view/subject/s/public/s35475691.jpg,,
深夜的恋人们,[日] 川上未映子,小说,7.7,36,熊韵,中国友谊出版公司,2026-4,"“一个孤独的城市，到处都是孤独的人。”
如果你在人群里感到孤独，那你一定会喜欢这本书。
内容简介：
我的名字是入江冬子，三十四岁，辞职前在一家出版社工作，明...",https://book.douban.com/subject/36987143/,https://img3.doubanio.com/view/subject/s/public/s35385203.jpg,,
抄写员巴托比,[美] 赫尔曼·梅尔维尔 / 孙冬,小说,8.3,331,陕西师范大学出版总社有限公司,2026-4-1,32.00元,"他是华尔街上一名安静的抄写员。
他不吵闹，不争辩，只在被要求时轻声说一句“我宁愿不”。
后来，他拒绝抄写、拒绝对话、拒绝离开。
他办公桌旁的窗外是一堵高墙，...",https://book.douban.com/subject/38392174/,https://img1.doubanio.com/view/subject/s/public/s35443099.jpg,,
幸福蒙太奇,马凌云 / 周嘉宁,小说,7.8,376,文汇出版社,2026-4,59.80元,"🍊在这失序的世界里，
一切看似日常，却又处处透着诡异：
与一百个前男友同居、吞服“隐身”药丸、
与喜马拉雅雪怪发生关系、将自己活埋以完成疗愈……
🏅【全美独...",https://book.douban.com/subject/37841159/,https://img1.doubanio.com/view/subject/s/public/s35425089.jpg,,
刮风下雨,李静睿,小说,8.9,243,浙江文艺出版社,2026-4,58.00元,《刮风下雨》是青年作家李静睿的最新长篇小说，巧妙借用四川麻将术语，构建了一个深邃的家族叙事。小说以自贡横街子为舞台，从侯兰青与林桂轩在抗战风雨中的结合开始，...,https://book.douban.com/subject/38240709/,https://img1.doubanio.com/view/subject/s/public/s35419398.jpg,,
好莱坞往事,[美] 昆汀·塔伦蒂诺 / 贾晓光,小说,8.6,77,文汇出版社,2026-4,79,"💌“我有洛杉矶，有1969年。这就是我，这就是塑造我的那一年。那时我六岁。这是我的世界，也是我写给好莱坞的一封情书。”
·
📝鬼才导演昆汀·塔伦蒂诺首部小说...",https://book.douban.com/subject/37232178/,https://img1.doubanio.com/view/subject/s/public/s35448459.jpg,,
人呐,莫言,小说,6.4,1249,北京日报出版社,2026-4,59.9,莫言时隔6年全新小说作品！收录 81 篇精悍之作，最短的一篇仅200字。莫言以半生阅世的通透与悲悯，将人间百态、人性幽微凝于数百字之间，写尽人心深处的复杂与...,https://book.douban.com/subject/37832794/,https://img1.doubanio.com/view/subject/s/public/s35467939.jpg,,
秦二世必须死,马伯庸,小说,7.0,1208,民主与建设出版社,2026-4,118.00元,"《秦二世必须死》是马伯庸2026年全新长篇历史传奇小说。
天降陨石，其上六字。这不是预言，却拉开了覆秦的序幕。韩、赵、魏、楚、燕、齐、秦。来自七国的七个人，...",https://book.douban.com/subject/38370177/,https://img3.doubanio.com/view/subject/s/public/s35466757.jpg,,
刚刚离开的世界,[韩] 金草叶 / 王瑾,小说,8.2,400,国文出版社,2026-3-29,58,"我们生活在各不相同的认知世界里。
在有的世界，人们不再通过语言来彼此交流。
在有的世界，人们为了身心合一，把自己的身体改造得更有“缺陷”。
在有的世界，有人...",https://book.douban.com/subject/37447242/,https://img9.doubanio.com/view/subject/s/public/s35411484.jpg,,
檻神館双極子殺人事件,南海遊、插图：清原紘,小说,,278,星海社,2026-3-18,1600円+税,"全てが覆る。
「密室」×「暗号」×「●●」ーー驚愕の「館」本格ミステリ。
『永劫館超連続殺人事件』で「第25回本格ミステリ大賞」最終候補作、「2025本格ミ...",https://book.douban.com/subject/38220051/,https://img9.doubanio.com/view/subject/s/public/s35397074.jpg,,
呼啸山庄,[英] 艾米莉·勃朗特 / 张玲、张扬,小说,7.9,990,浙江文艺出版社,2026-3-3,69.8,"🌪️狂风呼啸、雷声隆隆，爱与恨的孤魂，在荒原游荡
🔥文学史上一场永不熄灭的山火，关于爱与恨、毁灭与救赎的不朽名作
「我爱他，是因为他比我更像我自己。」
「是...",https://book.douban.com/subject/30471282/,https://img9.doubanio.com/view/subject/s/public/s35435194.jpg,,
伶仃世,索耳,小说,8.5,209,新星出版社,2026-3,69,"格非×梁文道×曹保平×路内×张悦然×淡豹 诚挚推荐！ 2026重磅中文长篇，第一届“鲤·伏笔计划”首奖&最佳完稿奖，青年小说家索耳蜕变之作。
·
伶仃世，“...",https://book.douban.com/subject/37518663/,https://img3.doubanio.com/view/subject/s/public/s35445453.jpg,,
目睹飞人的时刻,巫昂,小说,8.5,73,北京联合出版公司,2026-3-1,59.80,"九个奇想故事，九种存在困境，九次微小反抗
这是被时代高速碾压的普通人的精神史
是凡人生存图鉴 ，也是AI爆发前夜预言
诗人、小说家巫昂全新奇想故事集
以冷静...",https://book.douban.com/subject/38361686/,https://img1.doubanio.com/view/subject/s/public/s35420390.jpg,,
弹珠游戏,[法] 埃莉萨·秀雅·迪萨潘 / 狄佳,小说,7.8,305,上海译文出版社,2026-3,58,二十九岁的夏天，克莱尔从瑞士来到东京，心中怀着一个执念：带外公外婆回韩国看看。自从五十年前祖国被一分为二，他们就再也没有回去过。如今，外公坚持经营着一家弹珠...,https://book.douban.com/subject/38220071/,https://img3.doubanio.com/view/subject/s/public/s35391037.jpg,,
这个圣诞，人人都有秘密,[澳] 本杰明·史蒂文森 / 徐甜儿,小说,7.7,100,新星出版社,2026-3,52.00元,"◎“欧内斯特·坎宁安（Ernest Cunningham）”系列 连续登上日本四大推理榜单·海外榜
南半球的圣诞节，只有更多古典式谋杀！
干脆打破第四面墙 ...",https://book.douban.com/subject/37800332/,https://img1.doubanio.com/view/subject/s/public/s35435508.jpg,,
我们的一切往昔,[意] 娜塔莉亚·金兹伯格 / 杨致雅,小说,8.6,104,上海译文出版社,2026-3,68,故事开始于“二战”前夕，在意大利北部的小镇上有一个家庭：年迈的鳏夫，他的四个孩子，以及家里的女佣玛利亚阿姨。穿过马路，在那栋“对面的房子”里，小镇肥皂厂的厂...,https://book.douban.com/subject/38197669/,https://img9.doubanio.com/view/subject/s/public/s35379484.jpg,,
她和她的决心,东来,小说,8.3,726,上海文艺出版社,2026-3,52.00元,"-  编辑推荐 -
“父亲放弃了她，安德烈放弃了她，人群放弃了她，她自己也放弃了一部分自己，而她从这些放弃里也得到了自由。那些困扰她许久的噪声，忽然一下子从...",https://book.douban.com/subject/38178826/,https://img3.doubanio.com/view/subject/s/public/s35403332.jpg,,
阴郁之人的晴朗之地,[阿根廷] 玛丽安娜·恩里克斯 / 周妤婕、谷音,小说,7.9,216,北京联合出版公司,2026-3,62.00元,"🔥比起沉醉于阳光，我更想沉溺于黑暗
👑暗黑文学女王再度加冕，哥特恐怖教母全新变形，西语诺奖大热门玛丽安娜·恩里克斯继《床上抽烟危险》《火中遗物》后，暌违九年...",https://book.douban.com/subject/37664036/,https://img9.doubanio.com/view/subject/s/public/s35399234.jpg,,
人间,[日] 今村翔吾 / 贾雨桐,小说,8.0,127,江苏凤凰文艺出版社,2026-3,68.00元,"🔴⚫
让神佛好好见识一下人的崇高，人的强大！
斩获山田风太郎奖，入围直木奖
✍️
编辑推荐
天正五年，深夜，天守阁。
织田信长接到急报——有人谋反。
侍从生...",https://book.douban.com/subject/37523099/,https://img3.doubanio.com/view/subject/s/public/s35395737.jpg,,
鼓动,[日] 叶真中显 / 李盈春,小说,7.4,1151,北京联合出版公司,2026-3,59.00元,"【编辑推荐】
🔪🔪🔪他杀人，不是因为想毁灭世界，而是世界早已毁灭了他。
罗翔盛赞作者 叶真中显 再写超越《绝叫》《Blue》的崩坏人生！
《绝叫》写出的是人...",https://book.douban.com/subject/37437772/,https://img3.doubanio.com/view/subject/s/public/s35464762.jpg,,
世界上最透明的故事,[日] 杉井光 / 陈雪婷,小说,5.4,564,北京联合出版公司,2026-3,45.00,"★编辑推荐★
★只有纸质书才能实现的诡计！绝对不可能电子书化的小说！
作者本人直言：这本书光是能出版，就称得上是奇迹了！
推理作家陈浩基力荐：百年不遇，绝无...",https://book.douban.com/subject/37808522/,https://img3.doubanio.com/view/subject/s/public/s35371622.jpg,,
挽救计划,[美] 安迪·威尔 / 耿辉,小说,9.1,1118,译林出版社,2026-3,68,"斩获中国科幻银河奖、华语科幻星云奖
科技宅男与跨星系好友联袂上演太空大救援；硬核工程风和幽默碎碎念打造年度科幻
同名电影震撼来袭——《蜘蛛侠：平行宇宙》金牌...",https://book.douban.com/subject/38210508/,https://img9.doubanio.com/view/subject/s/public/s35397354.jpg,,
密室推理游戏,[日]歌野晶午 / 白夜,小说,7.4,270,新星出版社,2026-3,150.00元,"◎日本新本格推理大师 歌野晶午
第10届日本本格推理大奖获奖作
◎超浓郁本格推理解谜逸品
豆瓣高分评价，书迷翘首以待
◎凶手已知、不猜动机
这里只有纯粹的逻...",https://book.douban.com/subject/37444747/,https://img3.doubanio.com/view/subject/s/public/s35412943.jpg,,
死亡之前的十五秒,[日] 榊林铭 / 刘羽阳,小说,7.4,791,新星出版社,2026-3,52.00元,"◎收录第十二届东京创元社推理新人奖佳作
◎《世界奇妙物语》热门剧集原作
◎天马行空 荒诞精巧
四起案件，十五秒内极限逆转！
----------------...",https://book.douban.com/subject/37444748/,https://img9.doubanio.com/view/subject/s/public/s35412935.jpg,,
一间不属于自己的房间,[西]艾丽西亚•吉梅内斯•巴特利特 / 隋紫苑,小说,8.5,135,万卷出版有限责任公司,2026-2-20,39.80元,"一部发人深省的小说，引领我们反思自身的矛盾性。
——奥尔加·梅里诺，El Periódico（西班牙最大的报纸）
本书是对弗吉尼亚·伍尔夫近距离的观察。作者...",https://book.douban.com/subject/38197887/,https://img9.doubanio.com/view/subject/s/public/s35426944.jpg,,
愤怒的葡萄,[美] 约翰·斯坦贝克 / 陈宗琛,小说,9.1,116,文汇出版社,2026-2-5,66.00元,“那些离乡流浪的人，他们想逃离悲惨的过去。然而，一路上，他们经历了许多不可思议的事。有些事很残酷，很痛苦，但也有些际遇是如此令人感动，令他们对人重新燃起信心...,https://book.douban.com/subject/38232544/,https://img9.doubanio.com/view/subject/s/public/s35398495.jpg,,
白雪猪头,苏童,小说,8.6,276,浙江人民出版社,2026-2,49.90,"★编辑推荐
余华推荐，读完眼圈发红！“短篇小说之王”苏童亲选18篇各具风格、市井冷暖的经典作品。永恒的香椿树街，挣扎在善恶爱恨间的小人物众生相！每一个故事都...",https://book.douban.com/subject/38188690/,https://img2.doubanio.com/view/subject/s/public/s35443331.jpg,,
罐头厂街,[美] 约翰·斯坦贝克 / 周坤,小说,8.9,320,文汇出版社,2026-2,39.00元,"“罐头厂街……既是梦幻如诗之境，又是腥臭难闻之地，既充斥着刺耳的噪声，又拥有变幻的光线，那是一种腔调，也是一种习惯，是一种怀旧，更是一段梦境。”
·
蒙特雷...",https://book.douban.com/subject/37889502/,https://img1.doubanio.com/view/subject/s/public/s35368299.jpg,,
转空山,王陌书,小说,9.0,137,四川文艺出版社,2026-2-1,49.00元,"城与野之间，是小镇，是留白地带，故事似雨后草木悄然生长。
漂泊是小镇青年的宿命，无论走多远，南京，北京，乃至太平洋彼岸的墨西哥城，归乡只需要一念生起，故土会...",https://book.douban.com/subject/37545835/,https://img9.doubanio.com/view/subject/s/public/s35379274.jpg,,
好猫八不,王朔,小说,8.3,382,民主与建设出版社,2026-2,68元,"★王朔温暖之作
★文坛顽主变身铲屎官
★一改辛辣文风，以温柔笔触记录与猫咪之间的相互救赎
★直面孤独与衰老，细碎日常中袒露“不较劲”的生活哲学
《好猫八不》...",https://book.douban.com/subject/38192710/,https://img2.doubanio.com/view/subject/s/public/s35367821.jpg,,
坠落的王国,[挪] 尤·奈斯博 / 姚向辉,小说,7.4,193,湖南文艺出版社,2026-1,65.00元,"秘密不停堆叠，坠落何时触底？
北欧悬疑小说大师尤·奈斯博讲述守护与背叛。
入围2021英国匕首奖、2025日本推理小说协会奖，
《泰晤士报》《科克斯书评》2...",https://book.douban.com/subject/37869943/,https://img9.doubanio.com/view/subject/s/public/s35349274.jpg,,
情感的迷惘,[奥] 斯蒂芬·茨威格 / 闵志荣,小说,9.3,127,新星出版社,2026-1,48元,"一次热烈的最终告白，克制隐忍却令人心碎的故事
作家赵松作序推荐
----------------------------------------------...",https://book.douban.com/subject/37808385/,https://img3.doubanio.com/view/subject/s/public/s35328937.jpg,,
吊诡,[美] 雪莉·杰克逊 / 陈磊,小说,7.6,103,上海文艺出版社,2026-1-1,59,"☆如果没有读过雪莉•杰克逊，你不会明白自己在恐惧什么。哥特小说女王经典长篇，一个女孩如何走出至暗时刻。
☆没人能质疑雪莉•杰克逊的影响力，包括她自己。
☆斯...",https://book.douban.com/subject/37518766/,https://img3.doubanio.com/view/subject/s/public/s35335012.jpg,,
春山,何大草,小说,8.3,53,上海文艺出版社,2026-1,49.00,"王维的最后一年，是和裴迪一起度过的。
◎	内容简介
这是安史乱后的日子，王维在辋川别墅，度过人生的最后一年，陪在身边的人只有裴迪，他的少年。王维也曾经少年过...",https://book.douban.com/subject/38218953/,https://img9.doubanio.com/view/subject/s/public/s35388214.jpg,,
8号出口,[日]川村元气 / 丁丁虫,小说,7.2,251,新星出版社,2026-1,58.00元,"◎改编自累积下载超过200万次的超人气游戏《8号出口》
◎《告白》《你的名字。》《天气之子》制片人川村元气全新力作
日本累计销售突破180000册！
◎二宫...",https://book.douban.com/subject/37816619/,https://img3.doubanio.com/view/subject/s/public/s35351473.jpg,,
海边的小院,阿禾,小说,9.2,86,上海文艺出版社,2026-1,59.00,"内容简介：
一座从海浪中抢来的小院，承载着一个家庭近半世纪的真实谋生故事。
外公外婆用双手从海里“刨”出一方土地，建起一座能抵御台风的海边小院。这里不仅是他...",https://book.douban.com/subject/38189032/,https://img3.doubanio.com/view/subject/s/public/s35365447.jpg,,
低智商犯罪（修订新版）,紫金陈,小说,7.0,416,湖南文艺出版社,2026-1,59.80,"省厅收到匿名举报信，警官张一昂被派往三江口任职，开始秘密调查。
与此同时，两个脑回路奇特的笨贼方超和刘直想要策划惊天大案，干算万算，却屡屡阴错阳差。
当地富...",https://book.douban.com/subject/37891758/,https://img1.doubanio.com/view/subject/s/public/s35492090.jpg,,
我的天才朋友,[瑞典] 弗雷德里克·巴克曼 / 孙璐,小说,8.4,770,天津人民出版社,2026-1,59,"△ 有人会比你更早看见你的伟大，愿意为你与世界抗争。
△《外婆的道歉信》《焦虑的人》《时间的礼物》作者巴克曼全新小说。
△ 巴克曼沉淀多年的半自传式长篇小说...",https://book.douban.com/subject/37818738/,https://img1.doubanio.com/view/subject/s/public/s35341438.jpg,,
恐慌集,[法] 芭芭拉·莫利纳尔 / 郁梦非,小说,7.5,347,广西师范大学出版社,2026-1-1,45.00元,"🌠杜拉斯的天才女友，写后即焚的地下作家，
唯一存世作，华语世界首译！
卡夫卡、普拉斯、卡林顿读者不可错过的神秘/神经故事集
————————————————...",https://book.douban.com/subject/37808465/,https://img9.doubanio.com/view/subject/s/public/s35331514.jpg,,
故乡无用,[马来西亚] 马尼尼为,小说,7.4,547,新星出版社,2026-1,52.00元,"“我们是家族这代的废物，光明正大的废物。”
台北文学奖年金得主马尼尼为首部长篇创作
2024《亚洲周刊》十大小说
《故乡无用》是马尼尼为的首部长篇创作。她以...",https://book.douban.com/subject/37558565/,https://img1.doubanio.com/view/subject/s/public/s35331370.jpg,,
年轻医生手记,［俄］米哈伊尔·布尔加科夫 / 连星,小说,8.9,411,文汇出版社,2026-1,52.00元,"💉“我们的整个生活就是由这类笑话组成的。”
术业未精、孤立无援、焦头烂额、生死一线……
🌨️在毫无准备之时被抛向命运的暴风雪
一个菜鸟医生的乡村奇遇
🎖️《...",https://book.douban.com/subject/37900003/,https://img1.doubanio.com/view/subject/s/public/s35336248.jpg,,
神乐坂怪谈,[日]芦泽央 / 朝雨,小说,6.9,383,江苏凤凰文艺出版社,2026-1,45.00元,"从编辑那里接到约稿的“我”，揭开了尘封八年的禁忌回忆——
即将结婚的夫妇因一次占卜分崩离析，男人尖叫着冲向路中央离奇身亡，女人制作的海报上爬满了“道歉”二字...",https://book.douban.com/subject/37800340/,https://img9.doubanio.com/view/subject/s/public/s35334195.jpg,,
凯罗斯,[德] 燕妮·埃彭贝克 / 李佳川,小说,8.5,1163,云南人民出版社,2026-1,69.00元,"🔴编辑推荐
🟣读之前，我必须叮嘱你，做好心理准备。
🟣2024年国际布克奖获奖作品，德语世界首部获此殊荣的小说，德国当代文坛翘楚燕妮·埃彭贝克长篇小说代表作...",https://book.douban.com/subject/37825000/,https://img3.doubanio.com/view/subject/s/public/s35342732.jpg,,
表姐妹,[阿根廷] 奥罗拉·本图里尼 / 李佳钟,小说,8.6,604,广西师范大学出版社,2026-1-1,49.00元,"🔥 离经叛道的女怪物独白，85岁新人生猛亮相国际文坛！
《火中遗物》《床上抽烟危险》作者玛丽安娜·恩里克斯作序，
凶险的姐妹成长，不屈的野蛮少女，
邪恶文学...",https://book.douban.com/subject/37822565/,https://img9.doubanio.com/view/subject/s/public/s35356285.jpg,,
陌生的女孩,王岑岑、修新羽、昼温、王侃瑜、迟卉、靓灵、慕明、糖匪,小说,8.5,202,浙江文艺出版社,2026-1,59.00元,"🪐中国女性科幻最具代表性的声音
被忽视的身体
被改写的记忆
被压抑的欲望
🌌她们的故事永远不够多
🪐她们用科幻与幻想重新定义了人性、性别与世界的边界
🌌双封...",https://book.douban.com/subject/37426818/,https://img3.doubanio.com/view/subject/s/public/s35297063.jpg,,
烧纸,[韩] 李沧东 / 薛舟,小说,8.7,785,新星出版社,2026-1,69.00元,"“你是怎么走到这一步，只知道憎恨这个世界呢？”
·
韩国电影大师李沧东短篇小说集，作者全新修订、完整无删节版，名篇《战利品》首次“复原”
我想刻画的并不是痛...",https://book.douban.com/subject/37281710/,https://img9.doubanio.com/view/subject/s/public/s35381565.jpg,,
收留,[爱尔兰] 克莱尔·吉根 / 马爱农,小说,8.5,857,太白文艺出版社,2026-1,55,"● 爱尔兰短篇小说女王克莱尔·吉根力作
● 戴维·伯恩斯爱尔兰写作奖获奖作品，21世纪百佳爱尔兰文学榜单第五名
● 电影《夏日细语》原著
● 翻译家马爱农全...",https://book.douban.com/subject/37835911/,https://img9.doubanio.com/view/subject/s/public/s35353986.jpg,,
天色已晚,[爱尔兰]克莱尔·吉根 / 马爱农,小说,8.3,1425,太白文艺出版社,2026-1,55.00元,"爱尔兰短篇小说女王克莱尔·吉根短篇小说集
收录首发于《纽约客》的新作《天色已晚》，以及代表作《漫长而痛苦的死亡》《南极》，横跨吉根二十余年的创作生涯。
三则...",https://book.douban.com/subject/37890167/,https://img1.doubanio.com/view/subject/s/public/s35354128.jpg,,
密室偏爱时代的谋杀事件,[日] 鸭崎暖炉,小说,7.7,867,丁宇宁,江苏凤凰文艺出版社,2026-1-1,"因“密室的无解证明与不在场证明有同等价值”的司法判决，日本陷入密室犯罪的狂潮。
深藏于钟乳洞中的八箱村，因八栋密不透风的箱形建筑得名，更因昭和年间八位推理作...",https://book.douban.com/subject/37841158/,https://img1.doubanio.com/view/subject/s/public/s35344339.jpg,,
只剩你一个,[美] 赖利·塞杰 / 郭雯熙,小说,7.8,1354,北京联合出版公司,2026-1,65,"年度哥特悬疑王炸，微恐惊悚直起鸡皮疙瘩！
★2024亚马逊“编辑推荐”年度Z佳惊悚小说之一
★Goodreads最佳悬疑“读者之选”
★原版近60万读者好评...",https://book.douban.com/subject/37648911/,https://img9.doubanio.com/view/subject/s/public/s35351984.jpg,,
黑桃A的诅咒,[日] 鲇川哲也 / 汤丽珍,小说,6.6,528,江苏凤凰文艺出版社,2025-12-25,59.90元,"♠ 被抄了70年的诡计，用7张扑克牌完成7场谋杀！
=====================
【故事简介】
7名性格乖僻的大学生来到丁香庄度假。翌日清晨，...",https://book.douban.com/subject/37502927/,https://img1.doubanio.com/view/subject/s/public/s35350440.jpg,,
宋慈洗冤笔记 第二季 2,巫童,小说,7.5,447,四川文艺出版社,2025-12-20,58,"世界法医学鼻祖宋慈，生平为何不见史书记载？今天我们能了解宋慈，多亏宋慈挚友刘克庄。本书讲述的正是宋慈和好友刘克庄携手探案的生死友谊。
福建路建阳县接二连三发...",https://book.douban.com/subject/37854741/,https://img9.doubanio.com/view/subject/s/public/s35331645.jpg,,
C弦上的咏叹调,[日] 湊佳苗 / 魏微,小说,6.9,148,浙江人民出版社,2025,69,"这是日本著名推理小说作家湊佳苗挑战自身的最新作品。
为了照顾痴呆的姨妈，离家多年的美佐回到了她小时长大的老家，却发现它已经变成了一个垃圾场。在打扫房子时，美...",https://book.douban.com/subject/37537436/,https://img9.doubanio.com/view/subject/s/public/s35281215.jpg,,
我不会说法语,[英] 凯瑟琳·曼斯菲尔德 / 金小天,小说,8.2,148,海峡文艺出版社,2025-12,32.00,"▍新西兰文学奠基人现代派经典
“英语世界的契诃夫”凯瑟琳·曼斯菲尔德精选集
◎内容涵盖家庭、婚姻、女性、阶级、童年、自由等多元主题
从儿童视角到婚姻关系，从...",https://book.douban.com/subject/37890140/,https://img3.doubanio.com/view/subject/s/public/s35330402.jpg,,
恶种起源,[韩] 丁柚井 / 宋筱茜,小说,7.4,330,国际文化出版公司,2025-12,58,"“你不配活在这个世界上。”
——“妈妈，我爱您。”
“那时，咱们就该死了的。你也该死，我也该死。”
——“妈妈，不要丢下我。”
我想成为，妈妈想要的那种乖孩...",https://book.douban.com/subject/37260606/,https://img1.doubanio.com/view/subject/s/public/s35314260.jpg,,
十日终焉·入梦,杀虫队队员,小说,7.7,960,江苏凤凰文艺出版社,2025-12,48.00元,该选题为县疑幻想长篇小说，此搞为《十日终焉》第九册，内容接《十日终焉因果》。天级生肖知神兽全面出动，大战一角即发。就在这时，天龙再次拉齐夏入梦，告诉他终焉之...,https://book.douban.com/subject/37229510/,https://img1.doubanio.com/view/subject/s/public/s35342220.jpg,,
给麻风病人的吻,[法]弗朗索瓦·莫里亚克 / 顾琪静,小说,7.7,402,四川文艺出版社,2025-12,45,"★ 诺奖得主剖开无爱婚姻内核的经典之作，跨越时代触达情感关系中的痛点
写透无爱婚姻和关系里的痛苦：明知无法相爱，又不得不在冰冷关系里慢慢耗尽自我，在日复一日...",https://book.douban.com/subject/37669539/,https://img3.doubanio.com/view/subject/s/public/s35282243.jpg,,
蟫,崔欣,小说,8.6,899,上海文艺出版社,2025-12-1,66.00元,"★那些被人类遗忘的历史，蟫族全都记得。从藏书楼到图书馆，在纸书消亡之前，且听蟫族八卦古今书痴秘闻
★古典文献学硕士书海探案，推理冷门古籍的演变流传，还原被时...",https://book.douban.com/subject/37830736/,https://img1.doubanio.com/view/subject/s/public/s35300378.jpg,,
我给了你眼睛，你却望向迷雾,(西) 伊雷内·索拉 / 马科星,小说,7.5,339,南海出版公司,2025-12,59.00元,"【编辑推荐】
⭕️ 西班牙最具辨识度的文学新声音伊雷内·索拉狂野颠覆之作，女性“暗黑版”《百年孤独》，加泰罗尼亚语直译。
一部充溢着魔幻、荒诞、痛苦与旺盛生...",https://book.douban.com/subject/37494446/,https://img3.doubanio.com/view/subject/s/public/s35333503.jpg,,
鸟儿如雨般落下,[加拿大] 乔斯琳·索西尔 / 张洁,小说,8.2,200,九州出版社,2025-12,49.80元,"📚
“我们WoMen”书系：
经由我们，看见世界。
赶在午夜前，至少在暴雨落下前，
驶入这片小路尽头的森林。
斩获第十届五洲法语文学奖
同名电影获哥德堡电影...",https://book.douban.com/subject/37305380/,https://img3.doubanio.com/view/subject/s/public/s35329902.jpg,,
卢克明的偷偷一笑,余华,小说,5.2,6722,新星出版社,2025-12,49.00元,"【编辑推荐】
★《文城》之后时隔5年 余华最新小说！
全新系列“混蛋列传”重磅开启！
99.9%的人都意想不到的题材！
准备好进入余华的“混蛋宇宙”了吗？
...",https://book.douban.com/subject/37816598/,https://img1.doubanio.com/view/subject/s/public/s35320708.jpg,,
山之上的交响乐,[日] 中井纪夫 著、[日] 伴名练 编 / 丁丁虫,小说,7.5,143,新星出版社,2025-12,66.00元,"◎在错乱的方位，“我们”如何与世界相处？
◎天才识天才！
“东方博尔赫斯”中井纪夫 & 备受瞩目的新生代作家伴名练
跨越时代的文学回响
◎一部幻想与抒情的交...",https://book.douban.com/subject/37496226/,https://img9.doubanio.com/view/subject/s/public/s35320274.jpg,,
咸的玩笑,刘震云,小说,8.5,13216,人民文学出版社,2025-12,69.00元,"《咸的玩笑》延续了刘震云“写众生”的创作底色，用幽默的笔触，在嬉笑怒骂间照见普通人的日常，也照见每个人与生活和解的可能。
主人公杜太白辗转教师、红白事主持人...",https://book.douban.com/subject/37833272/,https://img3.doubanio.com/view/subject/s/public/s35334352.jpg,,
葬礼过后,[英]戴安娜·阿西尔 / 姚瑶,小说,7.0,263,湖南文艺出版社,2025-12,58,"编辑推荐
★《暮色将尽》作者戴安娜·阿西尔自传体小说
★这不是一部沉溺于悲伤的悼亡录，而是一部关于爱情幻象的祛魅之书
★写给敢爱敢恨的你，只有彻底摆脱对自身...",https://book.douban.com/subject/37833130/,https://img1.doubanio.com/view/subject/s/public/s35301210.jpg,,
老舅,孔二狗,小说,6.6,203,安徽文艺出版社,2025-11-30,68.00,"小说以改革开放后东北振兴为背景，讲述了老舅平凡但精彩的一生，折射了不平凡时代下以“老舅”为代表的三代人的机遇挑战与命运转折的故事。
1993 年，中国股市冲...",https://book.douban.com/subject/37852311/,https://img3.doubanio.com/view/subject/s/public/s35312543.jpg,,
新首尔公园软糖嘉年华,[韩] 赵艺恩 / 山异,小说,7.3,881,广西师范大学出版社,2025-11-10,52.00元,"🏰韩女文学必读！纯爱的暗黑童话，弱者的甜蜜审判
🍭《爱、鸡尾酒与生化危机》作者 // 2025韩网读者票选top1 // 赵艺恩长篇代表作
🍬全体融化吧！失...",https://book.douban.com/subject/37321257/,https://img3.doubanio.com/view/subject/s/public/s35296453.jpg,,
隐墙,[奥] 玛尔伦·豪斯霍费尔 / 楼嘉,小说,8.1,585,山东文艺出版社,2025-11,55.00元,◆当世界被一道无形的墙隔绝，你是最后的幸存者，还是唯一的囚徒？ 一部令人脊背发凉的现代寓言，带你体验极致的孤独与求生。翻开本书，直面人类文明崩塌后，最赤裸的...,https://book.douban.com/subject/37842687/,https://img1.doubanio.com/view/subject/s/public/s35317599.jpg,,
